cod_semestre;cod_facultad;cod_escuela;cod_plan;cod_asignatura;cod_alumno;val_calific_final
20191;20;1;2009;209003;10200085;14
20191;20;1;2009;209003;10200090;14
20191;20;1;2009;209003;10200116;15
20191;20;1;2009;209003;11200062;15
20191;20;1;2009;209003;9200010;16
20191;20;1;2009;209003;10200118;15
20191;20;1;2009;209003;13200149;13
20191;20;1;2009;209003;9200047;14
20191;20;1;2009;209003;13200100;13
20191;20;1;2009;209003;11200116;15
20191;20;1;2009;209003;11200225;15
20191;20;1;2009;209003;13200166;14
20191;20;1;2009;209005M ;13200204;15
20191;20;1;2009;209005M ;10200090;16
20191;20;1;2009;209005M ;10200118;14
20191;20;1;2009;209005M ;13200088;11
20191;20;1;2009;209005M ;11200099;14
20191;20;1;2009;209005M ;11200103;15
20191;20;1;2009;209005M ;11200116;13
